ID	c2g1s1	c2g1s101	c2g2s625	c2g2s867	cLabel	pLabel	cSize
c1c2ds3-2g-SL-E-k2.clu	1	0	1	1	c1	c2ds3-2g-SL-E-k2.clu	990.0
c1c2ds3-2g-SL-E-k3.clu	1	0	1	0	c1	c2ds3-2g-SL-E-k3.clu	989.0
c1c2ds3-2g-SL-E-k4.clu	1	0	0	0	c1	c2ds3-2g-SL-E-k4.clu	987.0
c2c2ds3-2g-SL-E-k4.clu	0	1	0	0	c2	c2ds3-2g-SL-E-k4.clu	10.0
c2c2ds3-2g-SL-E-k3.clu	0	1	0	0	c2	c2ds3-2g-SL-E-k3.clu	10.0
c2c2ds3-2g-SL-E-k2.clu	0	1	0	0	c2	c2ds3-2g-SL-E-k2.clu	10.0
c3c2ds3-2g-SL-E-k4.clu	0	0	1	0	c3	c2ds3-2g-SL-E-k4.clu	2.0
c4c2ds3-2g-SL-E-k4.clu	0	0	0	1	c4	c2ds3-2g-SL-E-k4.clu	1.0
c3c2ds3-2g-SL-E-k3.clu	0	0	0	1	c3	c2ds3-2g-SL-E-k3.clu	1.0
